Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0402_1005Metric,-7.35,-16.22,270,top
C2,0.1uF,C_0402_1005Metric,-5.5,-16.2,270,top
C3,10uF,C_0402_1005Metric,-0.175,-13.6,0,top
C4,1uF,C_0402_1005Metric,16.6,-0.2,270,top
C5,0.1uF,C_0402_1005Metric,17.65,-0.2,270,top
C6,0.1uF,C_0402_1005Metric,20.35,9.65,0,top
C7,0.1uF,C_0402_1005Metric,7.85,11.3,180,top
C10,10uF,C_0402_1005Metric,-0.4,-7.15,0,top
C11,0.1uF,C_0402_1005Metric,12.78,-2.4,0,top
C12,1uF,C_0402_1005Metric,-9.906,-6.604,180,top
C13,0.1uF,C_0402_1005Metric,15.2,13.25,90,top
C14,0.1uF,C_0402_1005Metric,15.55,-0.2,270,top
C15,10uF,C_0402_1005Metric,20.35,1.7,0,top
C16,0.1uF,C_0402_1005Metric,20.35,2.75,0,top
D1,GRN,D_0603_1608Metric,2.5,20.6625,270,top
D2,RS-3535MWAR,LED_RGB_PLCC-6,0.3,-3,270,top
FB2,Ferrite_Bead,L_0805_2012Metric,-0.9,-10.2,270,top
J1,USB_B_Micro,USB_Micro-B_Molex-105017-0001,-9.906,-21.336,0,top
Q1,2N7002,SOT-23,0.5,10.25,180,top
Q2,2N7002,SOT-23,0.5,6.6,180,top
Q3,2N7002,SOT-23,0.5,13.85,180,top
Q4,2N7002,SOT-23,-5.334,-11.176,90,top
Q5,2N7002,SOT-23,-5.334,-7.366,270,top
R1,470,R_0402_1005Metric,2.55,17.71,90,top
R2,10K,R_0402_1005Metric,-9.906,-5.334,180,top
R3,47,R_0603_1608Metric,2.5,2.325,90,top
R4,47,R_0603_1608Metric,0.85,2.325,90,top
R5,82,R_1206_3216Metric,-1.2,2.3875,90,top
R6,49.9,R_0402_1005Metric,-3.71,6.1,0,top
R7,49.9,R_0402_1005Metric,-3.7,8.5,0,top
R8,10K,R_0402_1005Metric,-17.5,-9.35,90,top
R9,49.9,R_0402_1005Metric,-3.71,12.3,0,top
R10,2.2k,R_0402_1005Metric,4,1.85,90,top
R11,270,R_0603_1608Metric,24.05,-7.3,270,top
R12,2.2k,R_0402_1005Metric,20.35,7.75,180,top
R13,49.9,R_0402_1005Metric,16.81,-2.4,180,top
R14,49.9,R_0402_1005Metric,14.79,-2.4,0,top
R15,49.9,R_0402_1005Metric,10.76,-2.4,180,top
R16,49.9,R_0402_1005Metric,8.74,-2.4,0,top
R17,270,R_0603_1608Metric,24,-3,90,top
R18,49.9,R_0402_1005Metric,9,14.35,180,top
R19,49.9,R_0402_1005Metric,9,13.25,180,top
R20,49.9,R_0402_1005Metric,9,15.45,180,top
R21,2.2k,R_0402_1005Metric,20.35,6.7,180,top
R22,49.9,R_0402_1005Metric,-3.7,2.2,180,top
R23,2.2k,R_0402_1005Metric,20.35,4.9,180,top
R24,2.2k,R_0402_1005Metric,11.05,19.75,270,top
R25,2.2k,R_0402_1005Metric,12.1,19.75,270,top
R26,2.2k,R_0402_1005Metric,8.75,19.75,270,top
R27,2.2k,R_0402_1005Metric,9,16.55,180,top
R28,2.2k,R_0402_1005Metric,9.85,19.75,90,top
R29,4.87,R_0402_1005Metric,20.35,3.85,0,top
U1,AZ1117EH-3.3TRG1,SOT-223,-1,-19.15,90,top
U2,ESP32-WROOM-32E,ESP32-WROOM-32,-14.7,9.6,270,top
U4,CP2102-GMR_NRND,VFQFN-28-1EP_5x5mm,-12.2,-12.2,180,top
U5,DP83848C,LQFP-48_7x7mm_P0.5mm,12.45,6.7,270,top
